decade,newspaper,faces,pages,faces_per_page
1820,JDG,0,26,0.0
1830,JDG,1,54,0.018518518518518517
1840,JDG,1,50,0.02
1850,JDG,2,48,0.041666666666666664
1860,JDG,4,48,0.08333333333333333
1870,JDG,5,46,0.10869565217391304
1880,JDG,6,50,0.12
1890,JDG,1,52,0.019230769230769232
1900,JDG,11,54,0.2037037037037037
1910,JDG,6,50,0.12
1920,JDG,21,110,0.19090909090909092
1930,JDG,32,104,0.3076923076923077
1940,JDG,13,92,0.14130434782608695
1950,JDG,49,116,0.4224137931034483
1960,JDG,44,166,0.26506024096385544
1970,JDG,48,186,0.25806451612903225
1980,JDG,143,305,0.46885245901639344
1990,JDG,190,424,0.4481132075471698
