decade,newspaper,total_pages,pages_with_faces,percent_of_pages_with_face
1920,JDG,110,11,10.0
1890,JDG,52,1,1.9230769230769231
1960,JDG,166,31,18.67469879518072
1980,JDG,305,106,34.75409836065574
1950,JDG,116,29,25.0
1900,JDG,54,9,16.666666666666664
1970,JDG,186,41,22.043010752688172
1830,JDG,54,1,1.8518518518518516
1990,JDG,424,123,29.009433962264154
1930,JDG,104,20,19.230769230769234
1860,JDG,48,3,6.25
1880,JDG,50,5,10.0
1840,JDG,50,1,2.0
1910,JDG,50,4,8.0
1940,JDG,92,10,10.869565217391305
1850,JDG,48,2,4.166666666666666
1870,JDG,46,2,4.3478260869565215
1820,JDG,26,0,0.0
1880,IMP,34,1,2.941176470588235
1900,IMP,68,17,25.0
1950,IMP,94,47,50.0
1990,IMP,201,96,47.76119402985074
2010,IMP,188,146,77.6595744680851
1920,IMP,64,29,45.3125
1980,IMP,210,106,50.476190476190474
2000,IMP,216,153,70.83333333333334
1940,IMP,56,16,28.57142857142857
1890,IMP,51,12,23.52941176470588
1960,IMP,144,60,41.66666666666667
1970,IMP,200,82,41.0
1930,IMP,54,19,35.18518518518518
1910,IMP,52,17,32.69230769230769
1870,GDL,24,1,4.166666666666666
1940,GDL,38,8,21.052631578947366
1980,GDL,135,44,32.592592592592595
1890,GDL,26,1,3.8461538461538463
1910,GDL,30,4,13.333333333333334
1840,GDL,23,0,0.0
1990,GDL,208,74,35.57692307692308
1930,GDL,28,6,21.428571428571427
1800,GDL,36,9,25.0
1810,GDL,26,2,7.6923076923076925
1920,GDL,28,6,21.428571428571427
1830,GDL,36,2,5.555555555555555
1970,GDL,77,11,14.285714285714285
1790,GDL,20,3,15.0
1850,GDL,24,2,8.333333333333332
1950,GDL,48,8,16.666666666666664
1860,GDL,24,1,4.166666666666666
1880,GDL,24,1,4.166666666666666
1900,GDL,28,4,14.285714285714285
1960,GDL,90,19,21.11111111111111
1820,GDL,32,1,3.125
